STATE,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2010
0,987836,3973485,3936976,3940576,3963195,3992376,3962654,3901982,3824521,987836
0,163466,646249,637860,635751,632433,634504,628030,618490,610713,163466
0,212570,834866,830701,830890,836538,838012,831641,818785,801587,212570
0,368759,1509634,1504955,1504774,1525313,1545679,1541412,1519344,1494950,368759
0,243041,982736,963460,969161,968911,974181,961571,945363,917271,243041
1,14226,59690,59067,57929,58903,59647,59389,58961,58271,14226
2,2892,11716,11124,11350,11443,11330,11246,10803,10284,2892
4,20934,86097,85577,86093,86129,86764,84957,83021,81767,20934
5,9438,38453,38594,37978,38225,38796,38612,37737,37239,9438
6,123327,509771,497451,499629,498914,500380,490358,481943,465017,123327
8,16780,65926,64748,64729,65702,66350,66588,65375,64494,16780
9,9488,37634,36855,36142,36162,36321,35888,35551,34883,9488
10,2842,11298,11158,10890,10981,11026,11084,10978,10732,2842
11,2245,9196,9232,9445,9334,9648,9718,9693,9523,2245
12,50873,213205,214010,212988,218333,221746,224651,224574,223066,50873
13,32487,132621,131867,128653,129551,131676,130742,129824,128547,32487
15,4647,19151,18891,19036,18956,18212,18250,17939,17173,4647
16,5971,22952,22365,22699,22422,23030,22642,22430,22054,5971
17,41831,162400,160123,157513,157512,159239,156289,151944,147037,41831
18,20955,83459,83077,83373,83554,84175,83559,82268,81801,20955
19,9958,37854,38472,38806,39463,39702,39432,38850,38068,9958
20,9987,40113,39582,39727,39292,39001,38613,37409,35912,9987
21,13687,55309,55306,56046,55758,55943,55681,54910,54428,13687
22,14574,62290,62286,62541,64226,64390,63993,62391,59870,14574
23,3442,12623,12799,12869,12704,12652,12647,12451,12252,3442
24,18468,73541,72733,72361,72753,74134,73397,71942,71389,18468
25,18645,73185,72224,72157,71950,71919,71410,70765,70696,18645
26,29100,113972,113075,113019,114518,113802,113314,112565,110376,29100
27,17496,68367,68043,68955,69903,69711,69808,69570,67861,17496
28,9423,39734,39430,38489,38723,38577,38159,37532,36832,9423
29,19015,76256,75442,75168,75796,75145,74882,73765,72323,19015
30,3063,12002,12035,12207,12380,12582,12430,12194,11552,3063
31,6509,25722,25763,26029,26467,26859,26619,26226,25470,6509
32,8898,35845,34708,35082,35223,36228,36290,36152,35700,8898
33,3269,12986,12363,12600,12215,12378,12355,12251,12023,3269
34,26541,106677,104508,103457,103320,103115,102906,101676,100724,26541
35,6649,27795,27040,26723,26364,26054,25263,24131,23404,6649
36,61427,243118,239915,239882,237017,239352,235832,231376,226993,61427
37,29917,121068,119567,119394,120207,120836,120837,120151,120176,29917
38,2336,9211,9879,10261,10974,11406,11341,11140,10570,2336
39,34801,137921,137689,139088,139559,139561,138667,136909,135947,34801
40,13157,52572,52344,53335,53074,53525,52860,51467,49525,13157
41,11884,45393,44925,45007,45452,45668,45593,44711,43425,11884
42,36120,142973,142105,141793,142216,141920,140259,137982,136914,36120
44,2878,10998,11005,10871,10731,10875,10901,10663,10691,2878
45,14171,57488,57527,56570,57287,58277,57755,56943,56793,14171
46,3028,11794,11897,12059,12439,12255,12314,12196,12028,3028
47,19678,78632,80318,80277,80458,81877,81248,80601,80946,19678
48,92768,381723,378089,384445,394346,402264,400965,391340,379544,92768
49,13756,51932,50446,51854,50825,51013,50622,49761,48349,13756
50,1656,6055,6086,5980,6118,5972,5832,5775,5537,1656
51,25705,102349,102760,102510,102580,103234,102910,101430,99818,25705
53,22246,86686,86714,87241,87387,88772,89751,89724,87338,22246
54,5100,20465,20667,20923,20574,20083,19411,18870,18251,5100
55,17554,67797,67659,66892,67061,67156,66803,65943,64194,17554
56,1994,7470,7436,7511,7714,7798,7581,7179,6714,1994
72,9603,41243,40282,37871,35717,32967,30109,26233,22148,9603
